Date/Time,Duration,Calling Number,Called Number,Final Called Number
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+19725252222,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,42000,42000
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,14085151111,14085151111
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,14085151111,14085151111
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,+,+
12/31/69 16:00:00,0:00:00,+14085151111,,
12/31/69 16:00:00,0:00:00,+14085151111,,
12/31/69 16:00:00,0:00:00,+14085151111,,
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42000,911
12/31/69 16:00:00,0:00:00,+14085151111,42000,42000
12/31/69 16:00:00,0:00:00,+14085151111,42000,42000
12/31/69 16:00:00,0:00:00,+14085151111,42000,911
12/31/69 16:00:00,0:00:00,+14085151111,142000,142000
12/31/69 16:00:00,0:00:00,+14085151111,42000,42000
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,14085151111,14085151111
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+19725252222,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+19725252222,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+185151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+1650606506031212,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,+14085151111,+14085151111
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+185151111,42101,42101
